Time,Humidity,AirQuality
2015-11-15 00:00:24,36,80
2015-11-15 01:13:35,36,80
2015-11-15 02:26:47,37,79
2015-11-15 03:39:59,37,82
2015-11-15 04:53:11,36,80
2015-11-15 06:06:23,36,80
2015-11-15 07:19:35,36,80
2015-11-15 08:32:47,37,80
2015-11-15 09:45:59,37,79
2015-11-15 10:59:11,36,80
2015-11-15 12:12:23,37,80
2015-11-15 13:25:35,37,79
2015-11-15 14:38:46,36,83
2015-11-15 15:51:58,37,80
2015-11-15 17:05:10,36,80
2015-11-15 18:18:22,37,80
2015-11-15 19:31:34,36,81
2015-11-15 20:44:46,37,79
2015-11-15 21:57:58,37,79
2015-11-15 23:11:10,36,80
2015-11-16 00:24:22,36,81
2015-11-16 01:37:34,37,80
2015-11-16 02:50:46,36,79
2015-11-16 04:03:58,37,80
2015-11-16 05:17:09,37,81
2015-11-16 06:30:21,36,79
2015-11-16 07:43:33,37,79
2015-11-16 08:56:45,37,79
2015-11-16 10:09:57,37,85
2015-11-16 11:23:09,37,80
2015-11-16 12:36:21,37,81
2015-11-16 13:49:33,37,83
2015-11-16 15:02:45,37,80
2015-11-16 16:15:57,37,79
2015-11-16 17:29:09,37,81
2015-11-16 18:42:21,37,79
2015-11-16 19:55:32,37,80
2015-11-16 21:08:44,37,82
2015-11-16 22:21:56,37,79
2015-11-16 23:35:08,37,80
2015-11-17 00:48:20,37,80
2015-11-17 02:01:32,37,80
2015-11-17 03:14:44,37,79
2015-11-17 04:27:56,37,81
2015-11-17 05:41:08,37,80
2015-11-17 06:54:20,37,79
2015-11-17 08:07:32,37,79
2015-11-17 09:20:44,37,80
2015-11-17 10:33:55,36,80
2015-11-17 11:47:07,37,79
2015-11-17 13:00:19,37,79
2015-11-17 14:13:31,37,80
2015-11-17 15:26:43,37,79
2015-11-17 16:39:55,37,77
2015-11-17 17:53:07,37,79
2015-11-17 19:06:19,37,79
2015-11-17 20:19:31,37,80
2015-11-17 21:32:43,37,81
2015-11-17 22:45:55,37,79
2015-11-17 23:59:07,35,79
