Time,Day Of Week,Power,Total_Fees,Temperature
Timestamp:1/1/06 0:00,&amp; Sun %20,54.5448 MW,$1.23 ,-7.2222 C
Timestamp:1/2/06 1:00,&amp; Thu %20,.3898 MW,$300.00 ,-7.3056 C
Timestamp:1/3/06 2:00,&amp; Sun %20,51.6344 MW,£2.50,-7.8528 C
Timestamp:1/4/06 3:00,&amp; Sun %20,51.5597 MW,$0.00 ,-8.1778 C
Timestamp:1/5/06 4:00,&amp; Wed %20,51.7148 MW,¥4.00,-8.9343 C
Timestamp:1/6/06 5:00,&amp; Sun %20,52.6898 MW,$0.00 ,-8.7556 C
Timestamp:1/7/06 6:00,&amp; Mon %20,55.341 MW,$50.70 ,-8.0417 C
Timestamp:1/8/06 7:00,&amp; Sat %20,57.9512 MW,$0.00 ,-8.2028 C
Timestamp:1/9/06 8:00,&amp; Sun %20,62.3844 MW,€75.00,-7.6944 C
Timestamp:1/10/06 9:00,&amp; Fri %20,66.2962 MW,$50.00 ,-7.0556 C
Timestamp:1/11/06 10:00,&amp; Sun %20,67.9479 MW,$57.00 ,-6.0936 C
Timestamp:1/12/06 11:00,&amp; Sun %20,68.4049 MW,₨37.00,-5.5194 C
Timestamp:1/13/06 12:00,&amp; Sun %20,67.4961 MW,$37.00 ,-5 C
Timestamp:1/14/06 13:00,&amp; Tue %20,66.2013 MW,$57.00 ,-4.3889 C
Timestamp:1/15/06 14:00,&amp; Sun %20,64.954 MW,$207.00 ,-4.3139 C
Timestamp:1/16/06 15:00,&amp; Sun %20,65.8897 MW,$17.00 ,-3.8889 C
Timestamp:1/17/06 16:00,&amp; Sun %20,74.9203 MW,¥19.00,-3.9056 C
Timestamp:1/18/06 17:00,&amp; Sun %20,76.4434 MW,$16.30 ,-3.9833 C
Timestamp:1/19/06 18:00,&amp; Sun %20,74.2872 MW,$100.00 ,-3.9639 C
Timestamp:1/20/06 19:00,&amp; Sun %20,71.5383 MW,€37.00,-4.3139 C
